Unique ID, Manufacturer, Chemistry, Voltage (Volts)
00287 2012/12/13Hewlett-PackardPrimary, Hewlett-Packard, Lithium Ion, 11.427

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2021-11-06, 22:45:50, OK, 90%, 1.33, 4321, -20920, , 11.427, -20920, 90.4%, , , , , , , , , , , , 
2021-11-06, 22:46:20, OK, 90%, 1.33, 4321, -13392, , 11.579, -13392, 90.0%, , , , , , , , , , , , 
2021-11-06, 22:46:50, OK, 90%, 1.33, 4321, -10811, , 11.573, -10811, 89.7%, , , , , , , , , , , , 
2021-11-06, 22:47:20, OK, 89%, 1.28, 4112, -21708, , 11.378, -21708, 89.2%, , , , , , , , , , , , 
2021-11-06, 22:47:50, OK, 88%, 1.27, 4011, -22000, , 11.345, -22000, 88.2%, , , , , , , , , , , , 
2021-11-06, 22:48:20, OK, 88%, 1.27, 4011, -22000, , 11.345, -22000, 88.2%, , , , , , , , , , , , 
2021-11-06, 22:48:50, OK, 87%, 1.30, 4084, -21362, , 11.323, -21362, 87.2%, , , , , , , , , , , , 
2021-11-06, 22:49:20, OK, 86%, 1.24, 3844, -20682, , 11.307, -20682, 86.2%, , , , , , , , , , , , 
2021-11-06, 22:49:50, OK, 86%, 1.24, 3844, -20682, , 11.307, -20682, 86.2%, , , , , , , , , , , , 
2021-11-06, 22:50:20, OK, 85%, 1.27, 3877, -22000, , 11.264, -22000, 85.3%, , , , , , , , , , , , 
2021-11-06, 22:50:50, OK, 84%, 1.50, 4545, -18554, , 11.350, -18554, 84.3%, , , , , , , , , , , , 
2021-11-06, 22:51:20, OK, 84%, 1.50, 4545, -20250, , 11.282, -20250, 83.8%, , , , , , , , , , , , 
2021-11-06, 22:51:50, OK, 83%, 1.30, 3884, -20714, , 11.203, -20714, 82.8%, , , , , , , , , , , , 
2021-11-06, 22:52:20, OK, 82%, 1.27, 3757, -21913, , 11.258, -21913, 82.3%, , , , , , , , , , , , 
2021-11-06, 22:52:50, OK, 81%, 1.15, 3344, -24343, , 11.151, -24343, 81.4%, , , , , , , , , , , , 
2021-11-06, 22:53:20, OK, 81%, 1.15, 3344, -22021, , 11.138, -22021, 80.8%, , , , , , , , , , , , 
2021-11-06, 22:53:50, OK, 80%, 1.14, 3269, -24570, , 11.097, -24570, 80.3%, , , , , , , , , , , , 
2021-11-06, 22:54:20, OK, 79%, 1.10, 3116, -25423, , 11.075, -25423, 79.2%, , , , , , , , , , , , 
2021-11-06, 22:54:50, OK, 79%, 1.10, 3116, -19375, , 11.192, -19375, 78.7%, , , , , , , , , , , , 
2021-11-06, 22:55:20, OK, 78%, 1.23, 3462, -21330, , 11.126, -21330, 78.2%, , , , , , , , , , , , 
2021-11-06, 22:55:50, OK, 77%, 1.22, 3369, -24311, , 11.052, -24311, 77.2%, , , , , , , , , , , , 
2021-11-06, 22:56:20, OK, 77%, 1.22, 3369, -22378, , 11.057, -22378, 76.7%, , , , , , , , , , , , 
2021-11-06, 22:56:50, OK, 76%, 1.16, 3178, -20747, , 11.093, -20747, 76.2%, , , , , , , , , , , , 
2021-11-06, 22:57:20, OK, 75%, 1.84, 4966, -12442, , 11.248, -12442, 75.4%, , , , , , , , , , , , 
2021-11-06, 22:57:50, OK, 75%, 1.84, 4966, -19008, , 11.086, -19008, 75.1%, , , , , , , , , , , , 
2021-11-06, 22:58:20, OK, 74%, 2.15, 5724, -12992, , 11.241, -12992, 74.3%, , , , , , , , , , , , 
