Unique ID, Manufacturer, Chemistry, Voltage (Volts)
00287 2012/12/13Hewlett-PackardPrimary, Hewlett-Packard, Lithium Ion, 12.261

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2021-11-10, 01:39:19, OK, 9%, 0.00, -1, 39053, , 12.261, 39053, 9.1%, , , , , , , , , , , , 
2021-11-10, 01:39:49, OK, 10%, 0.00, -1, 39053, , 12.292, 39053, 9.9%, , , , , , , , , , , , 
2021-11-10, 07:01:36, OK, 99%, 1.46, 5221, -18997, , 11.446, -18997, 99.1%, , , , , , , , , , , , 
2021-11-10, 07:02:06, OK, 98%, 2.86, 10101, -10984, , 11.719, -10984, 98.4%, , , , , , , , , , , , 
2021-11-10, 07:02:36, OK, 98%, 2.86, 10101, -9644, , 11.744, -9644, 97.8%, , , , , , , , , , , , 
2021-11-10, 07:03:06, OK, 98%, 2.86, 10101, -7052, , 11.864, -7052, 97.6%, , , , , , , , , , , , 
2021-11-10, 07:03:36, OK, 97%, 2.06, 7182, -11815, , 11.664, -11815, 97.4%, , , , , , , , , , , , 
2021-11-10, 07:04:06, OK, 97%, 2.06, 7182, -13262, , 11.600, -13262, 96.8%, , , , , , , , , , , , 
2021-11-10, 07:04:36, OK, 97%, 2.06, 7182, -6577, , 11.848, -6577, 96.6%, , , , , , , , , , , , 
2021-11-10, 07:05:06, OK, 96%, 4.14, 14313, -6739, , 11.879, -6739, 96.4%, , , , , , , , , , , , 
2021-11-10, 07:05:36, OK, 96%, 4.14, 14313, -6739, , 11.879, -6739, 96.4%, , , , , , , , , , , , 
2021-11-10, 07:06:06, OK, 96%, 4.14, 14313, -6739, , 11.879, -6739, 96.4%, , , , , , , , , , , , 
2021-11-10, 07:06:36, OK, 96%, 4.14, 14313, -6739, , 11.879, -6739, 96.4%, , , , , , , , , , , , 
2021-11-10, 07:07:06, OK, 96%, 4.14, 14313, -6458, , 11.880, -6458, 95.5%, , , , , , , , , , , , 
2021-11-10, 07:07:36, OK, 96%, 4.14, 14313, -6458, , 11.880, -6458, 95.5%, , , , , , , , , , , , 
2021-11-10, 07:08:06, OK, 96%, 4.14, 14313, -6458, , 11.880, -6458, 95.5%, , , , , , , , , , , , 
2021-11-10, 07:08:36, OK, 96%, 4.14, 14313, -6458, , 11.880, -6458, 95.5%, , , , , , , , , , , , 
2021-11-10, 07:09:06, OK, 95%, 2.95, 10095, -9374, , 11.748, -9374, 94.6%, , , , , , , , , , , , 
2021-11-10, 07:09:36, OK, 94%, 2.88, 9737, -9698, , 11.730, -9698, 94.4%, , , , , , , , , , , , 
