Unique ID, Manufacturer, Chemistry, Voltage (Volts)
00287 2012/12/13Hewlett-PackardPrimary, Hewlett-Packard, Lithium Ion, 12.097

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2021-11-08, 00:00:00, OK, 70%, 3.66, 9218, -7646, , 11.241, -7646, 70.5%, , , , , , , , , , , , 
2021-11-08, 00:00:30, OK, 69%, 3.62, 8992, -11426, , 11.141, -11426, 69.3%, , , , , , , , , , , , 
2021-11-08, 00:01:00, OK, 69%, 2.14, 5323, -12949, , 11.046, -12949, 68.9%, , , , , , , , , , , , 
2021-11-08, 00:01:30, OK, 69%, 2.14, 5323, -11135, , 11.125, -11135, 68.6%, , , , , , , , , , , , 
2021-11-08, 00:06:13, OK, 67%, 1.37, 3302, -20358, , 10.902, -20358, 67.2%, , , , , , , , , , , , 
2021-11-08, 00:06:43, OK, 66%, 1.67, 3975, -10314, , 11.088, -10314, 66.3%, , , , , , , , , , , , 
2021-11-08, 00:07:13, OK, 66%, 1.67, 3975, -18522, , 10.902, -18522, 65.9%, , , , , , , , , , , , 
2021-11-08, 00:07:43, OK, 65%, 1.12, 2627, -24916, , 10.757, -24916, 65.4%, , , , , , , , , , , , 
2021-11-08, 00:08:13, OK, 64%, 1.14, 2623, -24527, , 10.730, -24527, 64.3%, , , , , , , , , , , , 
2021-11-08, 00:08:43, OK, 64%, 1.14, 2623, -18641, , 10.884, -18641, 63.8%, , , , , , , , , , , , 
2021-11-08, 00:09:13, OK, 63%, 1.56, 3537, -15358, , 10.903, -15358, 62.8%, , , , , , , , , , , , 
2021-11-08, 00:09:43, OK, 62%, 1.41, 3145, -15131, , 10.900, -15131, 62.5%, , , , , , , , , , , , 
2021-11-08, 00:10:13, OK, 62%, 1.41, 3145, -15131, , 10.900, -15131, 62.5%, , , , , , , , , , , , 
2021-11-08, 00:10:43, OK, 62%, 1.41, 3145, -7463, , 11.107, -7463, 61.8%, , , , , , , , , , , , 
2021-11-08, 00:11:13, OK, 61%, 2.22, 4873, -12604, , 10.970, -12604, 61.4%, , , , , , , , , , , , 
2021-11-08, 00:11:43, OK, 61%, 2.22, 4873, -8500, , 11.088, -8500, 61.1%, , , , , , , , , , , , 
2021-11-08, 00:12:13, OK, 61%, 2.22, 4873, -10433, , 11.051, -10433, 60.7%, , , , , , , , , , , , 
2021-11-08, 00:13:09, OK, 60%, 3.72, 8037, -21038, , 10.826, -21038, 60.2%, , , , , , , , , , , , 
2021-11-08, 00:13:39, OK, 59%, 1.21, 2568, -23112, , 10.696, -23112, 59.3%, , , , , , , , , , , , 
2021-11-08, 00:14:09, OK, 59%, 1.21, 2568, -23112, , 10.696, -23112, 59.3%, , , , , , , , , , , , 
2021-11-08, 00:14:39, OK, 58%, 1.68, 3499, -24030, , 10.637, -24030, 58.3%, , , , , , , , , , , , 
2021-11-08, 00:15:09, OK, 58%, 1.68, 3499, -19937, , 10.680, -19937, 57.9%, , , , , , , , , , , , 
2021-11-08, 00:15:39, OK, 57%, 1.93, 3969, -14418, , 10.904, -14418, 57.2%, , , , , , , , , , , , 
2021-11-08, 00:16:09, OK, 56%, 2.13, 4284, -13176, , 10.889, -13176, 56.4%, , , , , , , , , , , , 
2021-11-08, 00:16:39, OK, 56%, 2.13, 4284, -15001, , 10.882, -15001, 56.4%, , , , , , , , , , , , 
2021-11-08, 00:17:09, OK, 56%, 2.13, 4284, -18522, , 10.777, -18522, 55.7%, , , , , , , , , , , , 
2021-11-08, 00:17:39, OK, 55%, 2.02, 4002, -19030, , 10.691, -19030, 55.0%, , , , , , , , , , , , 
2021-11-08, 00:18:09, OK, 55%, 2.02, 4002, -14051, , 10.806, -14051, 54.6%, , , , , , , , , , , , 
2021-11-08, 00:18:39, OK, 54%, 2.10, 4079, -13306, , 10.880, -13306, 54.3%, , , , , , , , , , , , 
2021-11-08, 00:19:09, OK, 53%, 1.59, 3031, -15109, , 10.856, -15109, 53.5%, , , , , , , , , , , , 
2021-11-08, 00:19:39, OK, 53%, 1.59, 3031, -18803, , 10.698, -18803, 53.1%, , , , , , , , , , , , 
2021-11-08, 00:20:09, OK, 53%, 1.59, 3031, -15142, , 10.774, -15142, 52.7%, , , , , , , , , , , , 
2021-11-08, 00:20:39, OK, 52%, 2.05, 3829, -18533, , 10.771, -18533, 52.1%, , , , , , , , , , , , 
