Unique ID, Manufacturer, Chemistry, Voltage (Volts)
00287 2012/12/13Hewlett-PackardPrimary, Hewlett-Packard, Lithium Ion, 12.548

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2021-11-18, 00:00:17, OK, 54%, 0.00, -1, 25574, , 12.569, 25574, 53.5%, , , , , , , , , , , , 
2021-11-18, 00:00:47, OK, 55%, 0.00, -1, 25229, , 12.574, 25229, 54.6%, , , , , , , , , , , , 
2021-11-18, 00:01:17, OK, 55%, 0.00, -1, 25229, , 12.574, 25229, 54.6%, , , , , , , , , , , , 
2021-11-18, 00:01:47, OK, 56%, 0.00, -1, 24538, , 12.570, 24538, 55.5%, , , , , , , , , , , , 
2021-11-18, 00:02:17, OK, 57%, 0.00, -1, 24192, , 12.572, 24192, 56.5%, , , , , , , , , , , , 
2021-11-18, 00:02:47, OK, 57%, 0.00, -1, 0, , 11.930, 0, 56.8%, , , , , , , , , , , , 
2021-11-18, 00:03:17, OK, 57%, 0.00, -1, 1847, , 11.970, 1847, 56.8%, , , , , , , , , , , , 
2021-11-18, 00:03:47, OK, 57%, 0.00, -1, 25920, , 12.573, 25920, 57.5%, , , , , , , , , , , , 
2021-11-18, 00:04:17, OK, 58%, 0.00, -1, 23846, , 12.570, 23846, 58.5%, , , , , , , , , , , , 
2021-11-18, 00:04:47, OK, 58%, 0.00, -1, 23846, , 12.570, 23846, 58.5%, , , , , , , , , , , , 
2021-11-18, 00:05:17, OK, 60%, 0.00, -1, 22561, , 12.575, 22561, 59.9%, , , , , , , , , , , , 
2021-11-18, 00:05:47, OK, 60%, 0.00, -1, 22561, , 12.575, 22561, 59.9%, , , , , , , , , , , , 
2021-11-18, 00:06:17, OK, 61%, 0.00, -1, 22129, , 12.575, 22129, 60.8%, , , , , , , , , , , , 
2021-11-18, 00:06:47, OK, 62%, 0.00, -1, 21438, , 12.572, 21438, 61.6%, , , , , , , , , , , , 
2021-11-18, 00:07:17, OK, 62%, 0.00, -1, 21438, , 12.572, 21438, 61.6%, , , , , , , , , , , , 
2021-11-18, 00:07:47, OK, 62%, 0.00, -1, 21082, , 12.575, 21082, 62.5%, , , , , , , , , , , , 
2021-11-18, 00:08:17, OK, 62%, 0.00, -1, 21082, , 12.575, 21082, 62.5%, , , , , , , , , , , , 
2021-11-18, 00:08:47, OK, 64%, 0.00, -1, 20390, , 12.575, 20390, 63.7%, , , , , , , , , , , , 
2021-11-18, 00:09:17, OK, 65%, 0.00, -1, 19818, , 12.577, 19818, 64.5%, , , , , , , , , , , , 
